
TIME	EVENT	SRC	DST
1.80952400001040047961	ARR-FROM-TRNSP	3	119
1.81352400001040048316	ARR-TO-DEST	1	64
1.81370400001120057887	ACK-CREAT	2	64
1.81456800001120055477	ACK-TO-TRANS	4	64
1.82534400000960039812	ACK-ARRiv 	4	60
1.82552400001040049382	DEP-FROM-SRC	1	72
1.82552400001040049382	ARR-FROM-TRNSP	3	122
1.82552400001040049382	ARR-FROM-TRNSP	3	121
1.82952400001040049737	ARR-TO-DEST	1	65
1.82970400001120059308	ACK-CREAT	2	65
1.83056800001120056898	ACK-TO-TRANS	4	65
1.84134400000960041233	ACK-ARRiv 	4	61
1.84152400001040050803	DEP-FROM-SRC	1	73
1.84152400001040050803	ARR-FROM-TRNSP	3	124
1.84152400001040050803	ARR-FROM-TRNSP	3	123
1.84552400001040051158	ARR-TO-DEST	1	66
1.84552400001040073363	ARR-TO-DEST	1	67
1.84570400001120060729	ACK-CREAT	2	66
1.84570400001120082933	ACK-CREAT	2	66
1.84656800001120058319	ACK-TO-TRANS	4	66
1.84656800001120080523	ACK-TO-TRANS	4	66
1.85734400000960042654	ACK-ARRiv 	4	62
1.85752400001040052224	DEP-FROM-SRC	1	74
1.85752400001040052224	ARR-FROM-TRNSP	3	126
1.85752400001040052224	ARR-FROM-TRNSP	3	125
1.86152400001040074784	ARR-TO-DEST	1	68
1.86170400001120084355	ACK-CREAT	2	68
1.86256800001120081944	ACK-TO-TRANS	4	68
1.87352400001040053645	DEP-FROM-SRC	1	75
1.87752400001040076205	ARR-TO-DEST	1	69
1.87770400001120085776	ACK-CREAT	2	69
1.87856800001120083365	ACK-TO-TRANS	4	69
1.88952400001040055066	DEP-FROM-SRC	1	76
1.89352400001040055422	ARR-TO-DEST	1	70
1.89370400001120064992	ACK-CREAT	2	70
1.89456800001120062582	ACK-TO-TRANS	4	70
RTT
1.89856800001120062937	ACK-ARRiv 	4	63
1.89874800001200072508	ARR-FROM-TRNSP	3	127
1.89874800001200072508	ARR-FROM-TRNSP	3	128
1.90552400001040034283	DEP-FROM-SRC	1	77
1.90952400001040056843	ARR-TO-DEST	1	71
1.90970400001120066413	ACK-CREAT	2	71
1.91056800001120064003	ACK-TO-TRANS	4	71
1.91456800001120064358	ACK-ARRiv 	4	64
1.91474800001200073929	ARR-FROM-TRNSP	3	129
1.91474800001200073929	ARR-FROM-TRNSP	3	130
1.92152400001040035704	DEP-FROM-SRC	1	78
1.92552400001040058264	ARR-TO-DEST	1	72
1.92570400001120067834	ACK-CREAT	2	72
1.92656800001120065424	ACK-TO-TRANS	4	72
1.93056800001120065780	ACK-ARRiv 	4	65
1.93074800001200075350	ARR-FROM-TRNSP	3	131
1.93074800001200075350	ARR-FROM-TRNSP	3	132
1.93752400001040037125	DEP-FROM-SRC	1	79
1.94152400001040059685	ARR-TO-DEST	1	73
1.94170400001120069255	ACK-CREAT	2	73
1.94256800001120066845	ACK-TO-TRANS	4	73
1.94656800001120067201	ACK-ARRiv 	4	66
1.94656800001120089405	ACK-ARRiv 	4	66
1.94674800001200076771	ARR-FROM-TRNSP	3	133
1.94674800001200076771	ARR-FROM-TRNSP	3	134
1.94674800001200098976	ARR-FROM-TRNSP	3	135
1.94674800001200098976	ARR-FROM-TRNSP	3	136
1.95352400001040038546	DEP-FROM-SRC	1	80
1.95752400001040061106	ARR-TO-DEST	1	74
1.95770400001120070677	ACK-CREAT	2	74
1.95856800001120068266	ACK-TO-TRANS	4	74
1.96256800001120090826	ACK-ARRiv 	4	68
1.96274800001200100397	ARR-FROM-TRNSP	3	137
1.96274800001200100397	ARR-FROM-TRNSP	3	138
1.96952400001040039967	DEP-FROM-SRC	1	81
1.97352400001040062527	ARR-TO-DEST	1	75
1.97370400001120072098	ACK-CREAT	2	75
1.97456800001120069687	ACK-TO-TRANS	4	75
1.97856800001120092247	ACK-ARRiv 	4	69
1.97874800001200101818	ARR-FROM-TRNSP	3	139
1.97874800001200101818	ARR-FROM-TRNSP	3	140
1.98552400001040041388	DEP-FROM-SRC	1	82
1.98952400001040063948	ARR-TO-DEST	1	76
1.98970400001120073519	ACK-CREAT	2	76
1.99056800001120071109	ACK-TO-TRANS	4	76
1.99456800001120071464	ACK-ARRiv 	4	70
1.99474800001200081034	ARR-FROM-TRNSP	3	141
1.99474800001200081034	ARR-FROM-TRNSP	3	142

Paquetes recibidos Nodo final: 77
